Date,Close,Open,High,Low,Volume
2025-03-03,18.65999984741211,21.239999771118164,21.450000762939453,18.399999618530273,26785200
2025-03-04,18.9950008392334,17.969999313354492,19.950000762939453,17.510000228881836,25807900
2025-03-05,20.399999618530273,19.114999771118164,20.84000015258789,18.770000457763672,18412400
2025-03-06,18.65999984741211,19.579999923706055,20.270000457763672,18.3700008392334,18086800
2025-03-07,18.799999237060547,18.290000915527344,19.100000381469727,17.670000076293945,16108800
2025-03-10,17.1200008392334,18.200000762939453,18.229999542236328,16.469999313354492,21122000
2025-03-11,17.829999923706055,16.309999465942383,18.139999389648438,16.049999237060547,15509200
2025-03-12,18.43000030517578,18.920000076293945,19.3799991607666,17.579999923706055,19095600
2025-03-13,17.56999969482422,18.344999313354492,18.520000457763672,17.291000366210938,10493900
2025-03-14,18.809999465942383,18.094999313354492,18.96500015258789,17.799999237060547,12008900
2025-03-17,19.100000381469727,19.09000015258789,19.950000762939453,18.850000381469727,15581600
2025-03-18,17.979999542236328,18.594999313354492,18.594999313354492,17.959999084472656,9768300
2025-03-19,18.780000686645508,18.299999237060547,19.06999969482422,17.780000686645508,12096300
2025-03-20,18.530000686645508,18.399999618530273,18.8700008392334,18.15999984741211,8509000
2025-03-21,18.940000534057617,18.104999542236328,18.979999542236328,17.979999542236328,16743600
2025-03-24,20.209999084472656,19.44499969482422,20.450000762939453,19.40999984741211,13807100
2025-03-25,20.270000457763672,20.295000076293945,20.389999389648438,19.610000610351562,12026500
2025-03-26,19.440000534057617,20.040000915527344,20.344999313354492,19.392000198364258,12762900
2025-03-27,18.420000076293945,19.049999237060547,19.290000915527344,18.309999465942383,11754300
2025-03-28,18.6200008392334,19.559999465942383,19.790000915527344,18.43000030517578,25511900
2025-03-31,17.8799991607666,17.889999389648438,18.395000457763672,17.35099983215332,15132500
