Date,Close,Open,High,Low,Volume
2024-07-01,1597.5999755859375,1635.6099853515625,1641.0400390625,1571.8699951171875,337600
2024-07-02,1596.47998046875,1590.949951171875,1617.8800048828125,1583.3499755859375,297400
2024-07-03,1591.43994140625,1585.0,1594.1199951171875,1563.2099609375,207700
2024-07-05,1658.9599609375,1610.0,1666.27001953125,1598.06005859375,354400
2024-07-08,1683.75,1659.3900146484375,1700.9000244140625,1647.0,310500
2024-07-09,1722.050048828125,1698.989990234375,1733.969970703125,1675.77001953125,349000
2024-07-10,1703.550048828125,1733.97998046875,1739.3399658203125,1679.9599609375,268100
2024-07-11,1708.6500244140625,1710.5699462890625,1733.760009765625,1700.0400390625,258800
2024-07-12,1761.219970703125,1710.449951171875,1764.5,1710.449951171875,335200
2024-07-15,1743.989990234375,1745.6199951171875,1760.3800048828125,1727.449951171875,376500
2024-07-16,1720.4300537109375,1741.31005859375,1745.510009765625,1707.0,265100
2024-07-17,1670.0899658203125,1710.0,1710.0,1655.0999755859375,378000
2024-07-18,1623.260009765625,1670.72998046875,1685.31005859375,1613.5400390625,270400
2024-07-19,1649.989990234375,1612.9000244140625,1664.5899658203125,1612.9000244140625,174100
2024-07-22,1687.3800048828125,1668.18994140625,1691.949951171875,1651.22998046875,193900
2024-07-23,1692.22998046875,1683.510009765625,1700.1800537109375,1680.22998046875,217700
2024-07-24,1642.550048828125,1676.1700439453125,1676.1700439453125,1635.510009765625,240300
2024-07-25,1625.1500244140625,1634.3900146484375,1674.5,1595.260009765625,278700
2024-07-26,1651.68994140625,1629.3399658203125,1668.030029296875,1629.3399658203125,169000
2024-07-29,1621.4000244140625,1667.1500244140625,1670.0,1613.6700439453125,217900
2024-07-30,1626.1500244140625,1623.72998046875,1647.6300048828125,1603.0899658203125,327100
2024-07-31,1668.9000244140625,1660.0,1674.5799560546875,1646.1199951171875,375400
2024-08-01,1606.06005859375,1675.489990234375,1712.4599609375,1579.780029296875,624500
2024-08-02,1776.1400146484375,1701.2099609375,1786.969970703125,1692.9599609375,958300
2024-08-05,1776.0,1666.0,1820.0,1656.739990234375,725400
2024-08-06,1810.3900146484375,1788.4000244140625,1850.0,1776.010009765625,486500
2024-08-07,1859.699951171875,1834.8800048828125,1878.3800048828125,1825.81005859375,587100
2024-08-08,1869.4000244140625,1880.0,1887.3399658203125,1829.1199951171875,345100
2024-08-09,1883.6199951171875,1869.6199951171875,1909.800048828125,1869.6199951171875,232900
2024-08-12,1901.8199462890625,1884.510009765625,1904.5999755859375,1874.6099853515625,186900
2024-08-13,1916.199951171875,1905.0,1923.1800537109375,1891.97998046875,315200
2024-08-14,1898.5699462890625,1921.6800537109375,1921.6800537109375,1883.0,272900
2024-08-15,1996.43994140625,1920.0,1998.6800537109375,1915.0,519000
2024-08-16,1977.969970703125,1992.0,1999.0,1969.0,245100
2024-08-19,2028.0,1989.6700439453125,2029.989990234375,1985.1700439453125,402100
2024-08-20,2005.6600341796875,2020.0,2027.780029296875,2000.030029296875,225600
2024-08-21,2007.4599609375,2013.02001953125,2015.4599609375,1973.260009765625,238900
2024-08-22,1988.8299560546875,2000.199951171875,2019.0,1983.449951171875,191500
2024-08-23,2000.31005859375,2006.5,2009.8199462890625,1980.6199951171875,162700
2024-08-26,2004.699951171875,1991.72998046875,2007.6500244140625,1978.0,181700
2024-08-27,2036.2099609375,2002.989990234375,2048.989990234375,2002.989990234375,272400
2024-08-28,1995.1700439453125,2035.25,2037.0,1982.6800537109375,251500
2024-08-29,2015.7900390625,2003.469970703125,2023.550048828125,1994.989990234375,199200
2024-08-30,2061.659912109375,2025.989990234375,2064.760009765625,2018.4100341796875,384400
2024-09-03,1990.1700439453125,2050.0,2053.590087890625,1984.0,377200
2024-09-04,1991.5899658203125,1996.8299560546875,2006.010009765625,1977.9000244140625,167900
2024-09-05,2038.1800537109375,1991.5899658203125,2048.050048828125,1991.5899658203125,218700
2024-09-06,1986.050048828125,2034.8499755859375,2034.8499755859375,1966.0,304400
2024-09-09,2029.9100341796875,2006.9599609375,2035.8800048828125,2001.800048828125,229900
2024-09-10,2017.5799560546875,2040.300048828125,2045.3299560546875,2001.5,198600
2024-09-11,2045.8800048828125,2026.81005859375,2053.0,1984.8499755859375,323500
2024-09-12,2140.10009765625,2056.0,2142.590087890625,2054.719970703125,435900
2024-09-13,2122.3701171875,2136.9599609375,2143.9599609375,2117.679931640625,256700
2024-09-16,2105.510009765625,2128.830078125,2128.830078125,2102.0,264600
2024-09-17,2074.260009765625,2106.699951171875,2111.679931640625,2067.179931640625,283900
2024-09-18,2102.639892578125,2078.760009765625,2124.52001953125,2074.219970703125,218900
2024-09-19,2109.39990234375,2138.449951171875,2157.639892578125,2098.929931640625,360800
2024-09-20,2103.75,2116.14990234375,2118.610107421875,2094.679931640625,319400
2024-09-23,2102.6298828125,2117.830078125,2140.969970703125,2100.0,226500
2024-09-24,2111.0,2116.280029296875,2124.330078125,2092.0,303100
2024-09-25,2131.2900390625,2097.14990234375,2132.679931640625,2088.75,234900
2024-09-26,2100.2099609375,2147.800048828125,2161.72998046875,2098.320068359375,328900
2024-09-27,2064.7099609375,2100.2099609375,2100.2099609375,2055.52001953125,321200
2024-09-30,2051.9599609375,2055.300048828125,2064.8701171875,2030.25,398600
2024-10-01,2066.1201171875,2060.0,2067.719970703125,2033.239990234375,349100
2024-10-02,1970.719970703125,1993.219970703125,2015.4200439453125,1952.4200439453125,514600
2024-10-03,1959.199951171875,1956.6500244140625,1970.010009765625,1942.3199462890625,243200
2024-10-04,1960.0,1966.0,1972.2099609375,1937.280029296875,315800
2024-10-07,1963.22998046875,1961.0,1985.0,1951.010009765625,252000
2024-10-08,2014.22998046875,1963.050048828125,2018.510009765625,1963.050048828125,268900
2024-10-09,2047.989990234375,2007.699951171875,2052.5,2002.9200439453125,274700
2024-10-10,2040.5,2044.0,2059.820068359375,2026.0999755859375,197300
2024-10-11,2091.159912109375,2058.2099609375,2107.10009765625,2043.0,343000
2024-10-14,2079.9599609375,2091.820068359375,2105.0400390625,2073.409912109375,201700
2024-10-15,2033.6199951171875,2075.47998046875,2082.989990234375,2018.3900146484375,330700
2024-10-16,2046.469970703125,2029.3199462890625,2063.969970703125,2029.3199462890625,230300
2024-10-17,2065.8701171875,2066.85009765625,2079.93994140625,2046.030029296875,199700
2024-10-18,2079.7900390625,2065.8701171875,2088.330078125,2046.6700439453125,229900
2024-10-21,2100.580078125,2065.0,2102.97998046875,2065.0,217200
