Date,Close,Open,High,Low,Volume
2024-10-01,31.200000762939453,31.610000610351562,31.979999542236328,30.530000686645508,7097700
2024-10-02,30.450000762939453,31.200000762939453,32.11000061035156,30.329999923706055,9034600
2024-10-03,29.739999771118164,30.270000457763672,30.5,29.649999618530273,6952900
2024-10-04,30.25,30.15999984741211,30.739999771118164,29.729999542236328,5724700
2024-10-07,28.81999969482422,30.299999237060547,30.420000076293945,28.790000915527344,8725700
2024-10-08,28.739999771118164,28.610000610351562,29.149999618530273,28.200000762939453,8858100
2024-10-09,30.510000228881836,29.18000030517578,30.530000686645508,28.860000610351562,10850000
2024-10-10,34.90999984741211,33.529998779296875,35.15999984741211,32.25,30172400
2024-10-11,32.79999923706055,34.90999984741211,35.400001525878906,32.720001220703125,18275000
2024-10-14,34.81999969482422,33.099998474121094,35.040000915527344,31.600000381469727,14494800
2024-10-15,34.15999984741211,34.310001373291016,35.58000183105469,33.54999923706055,14963900
2024-10-16,33.779998779296875,34.720001220703125,35.83000183105469,33.29999923706055,10954700
2024-10-17,32.18000030517578,33.79999923706055,33.880001068115234,31.3700008392334,12921200
2024-10-18,33.849998474121094,32.709999084472656,34.15999984741211,32.099998474121094,8290700
2024-10-21,32.459999084472656,33.72999954223633,33.7599983215332,31.90999984741211,10542000
2024-10-22,32.02000045776367,32.279998779296875,32.70000076293945,31.049999237060547,7829800
2024-10-23,30.459999084472656,31.850000381469727,31.90999984741211,30.389999389648438,6638800
2024-10-24,31.700000762939453,30.799999237060547,31.709999084472656,30.3799991607666,7126600
2024-10-25,31.65999984741211,31.790000915527344,32.290000915527344,31.170000076293945,6541400
2024-10-28,31.399999618530273,32.0,32.2400016784668,31.219999313354492,5483800
2024-10-29,31.030000686645508,31.1299991607666,32.13999938964844,30.65999984741211,6832700
2024-10-30,30.690000534057617,30.889999389648438,31.860000610351562,30.610000610351562,4922000
2024-10-31,30.079999923706055,30.59000015258789,30.780000686645508,29.3700008392334,7250400
